#BCube(8,3)

router

# node  comment     yPos    xPos
S0000     NA          1       1
S0001     NA          1       1
S0002     NA          1       1
S0003     NA          1       1
S0004     NA          1       1
S0005     NA          1       1
S0006     NA          1       1
S0007     NA          1       1
S0010     NA          1       1
S0011     NA          1       1
S0012     NA          1       1
S0013     NA          1       1
S0014     NA          1       1
S0015     NA          1       1
S0016     NA          1       1
S0017     NA          1       1
S0020     NA          1       1
S0021     NA          1       1
S0022     NA          1       1
S0023     NA          1       1
S0024     NA          1       1
S0025     NA          1       1
S0026     NA          1       1
S0027     NA          1       1
S0030     NA          1       1
S0031     NA          1       1
S0032     NA          1       1
S0033     NA          1       1
S0034     NA          1       1
S0035     NA          1       1
S0036     NA          1       1
S0037     NA          1       1
S0040     NA          1       1
S0041     NA          1       1
S0042     NA          1       1
S0043     NA          1       1
S0044     NA          1       1
S0045     NA          1       1
S0046     NA          1       1
S0047     NA          1       1
S0050     NA          1       1
S0051     NA          1       1
S0052     NA          1       1
S0053     NA          1       1
S0054     NA          1       1
S0055     NA          1       1
S0056     NA          1       1
S0057     NA          1       1
S0060     NA          1       1
S0061     NA          1       1
S0062     NA          1       1
S0063     NA          1       1
S0064     NA          1       1
S0065     NA          1       1
S0066     NA          1       1
S0067     NA          1       1
S0070     NA          1       1
S0071     NA          1       1
S0072     NA          1       1
S0073     NA          1       1
S0074     NA          1       1
S0075     NA          1       1
S0076     NA          1       1
S0077     NA          1       1
S0100     NA          1       1
S0101     NA          1       1
S0102     NA          1       1
S0103     NA          1       1
S0104     NA          1       1
S0105     NA          1       1
S0106     NA          1       1
S0107     NA          1       1
S0110     NA          1       1
S0111     NA          1       1
S0112     NA          1       1
S0113     NA          1       1
S0114     NA          1       1
S0115     NA          1       1
S0116     NA          1       1
S0117     NA          1       1
S0120     NA          1       1
S0121     NA          1       1
S0122     NA          1       1
S0123     NA          1       1
S0124     NA          1       1
S0125     NA          1       1
S0126     NA          1       1
S0127     NA          1       1
S0130     NA          1       1
S0131     NA          1       1
S0132     NA          1       1
S0133     NA          1       1
S0134     NA          1       1
S0135     NA          1       1
S0136     NA          1       1
S0137     NA          1       1
S0140     NA          1       1
S0141     NA          1       1
S0142     NA          1       1
S0143     NA          1       1
S0144     NA          1       1
S0145     NA          1       1
S0146     NA          1       1
S0147     NA          1       1
S0150     NA          1       1
S0151     NA          1       1
S0152     NA          1       1
S0153     NA          1       1
S0154     NA          1       1
S0155     NA          1       1
S0156     NA          1       1
S0157     NA          1       1
S0160     NA          1       1
S0161     NA          1       1
S0162     NA          1       1
S0163     NA          1       1
S0164     NA          1       1
S0165     NA          1       1
S0166     NA          1       1
S0167     NA          1       1
S0170     NA          1       1
S0171     NA          1       1
S0172     NA          1       1
S0173     NA          1       1
S0174     NA          1       1
S0175     NA          1       1
S0176     NA          1       1
S0177     NA          1       1
S0200     NA          1       1
S0201     NA          1       1
S0202     NA          1       1
S0203     NA          1       1
S0204     NA          1       1
S0205     NA          1       1
S0206     NA          1       1
S0207     NA          1       1
S0210     NA          1       1
S0211     NA          1       1
S0212     NA          1       1
S0213     NA          1       1
S0214     NA          1       1
S0215     NA          1       1
S0216     NA          1       1
S0217     NA          1       1
S0220     NA          1       1
S0221     NA          1       1
S0222     NA          1       1
S0223     NA          1       1
S0224     NA          1       1
S0225     NA          1       1
S0226     NA          1       1
S0227     NA          1       1
S0230     NA          1       1
S0231     NA          1       1
S0232     NA          1       1
S0233     NA          1       1
S0234     NA          1       1
S0235     NA          1       1
S0236     NA          1       1
S0237     NA          1       1
S0240     NA          1       1
S0241     NA          1       1
S0242     NA          1       1
S0243     NA          1       1
S0244     NA          1       1
S0245     NA          1       1
S0246     NA          1       1
S0247     NA          1       1
S0250     NA          1       1
S0251     NA          1       1
S0252     NA          1       1
S0253     NA          1       1
S0254     NA          1       1
S0255     NA          1       1
S0256     NA          1       1
S0257     NA          1       1
S0260     NA          1       1
S0261     NA          1       1
S0262     NA          1       1
S0263     NA          1       1
S0264     NA          1       1
S0265     NA          1       1
S0266     NA          1       1
S0267     NA          1       1
S0270     NA          1       1
S0271     NA          1       1
S0272     NA          1       1
S0273     NA          1       1
S0274     NA          1       1
S0275     NA          1       1
S0276     NA          1       1
S0277     NA          1       1
S0300     NA          1       1
S0301     NA          1       1
S0302     NA          1       1
S0303     NA          1       1
S0304     NA          1       1
S0305     NA          1       1
S0306     NA          1       1
S0307     NA          1       1
S0310     NA          1       1
S0311     NA          1       1
S0312     NA          1       1
S0313     NA          1       1
S0314     NA          1       1
S0315     NA          1       1
S0316     NA          1       1
S0317     NA          1       1
S0320     NA          1       1
S0321     NA          1       1
S0322     NA          1       1
S0323     NA          1       1
S0324     NA          1       1
S0325     NA          1       1
S0326     NA          1       1
S0327     NA          1       1
S0330     NA          1       1
S0331     NA          1       1
S0332     NA          1       1
S0333     NA          1       1
S0334     NA          1       1
S0335     NA          1       1
S0336     NA          1       1
S0337     NA          1       1
S0340     NA          1       1
S0341     NA          1       1
S0342     NA          1       1
S0343     NA          1       1
S0344     NA          1       1
S0345     NA          1       1
S0346     NA          1       1
S0347     NA          1       1
S0350     NA          1       1
S0351     NA          1       1
S0352     NA          1       1
S0353     NA          1       1
S0354     NA          1       1
S0355     NA          1       1
S0356     NA          1       1
S0357     NA          1       1
